"","genename","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPY1R","NPY1R",5156.59086936664,-6.83807675156342,0.313221404844967,-21.8314478058995,1.16666356552444e-105,2.17757754505137e-101
"GRB7","GRB7",1308.11880474857,3.09192931440448,0.156572584580575,19.7475779216848,8.41584230968934e-87,7.85408483551758e-83
"ORMDL3","ORMDL3",3966.65064491701,2.55097869622734,0.130468746726065,19.5524120545393,3.9347031449582e-85,2.44804114002149e-81
"PSMD3","PSMD3",5060.03765963401,2.38117645593097,0.12299225189666,19.3603777409627,1.66658943521745e-83,7.77672295208344e-80
"G6PD","G6PD",1586.10345893459,1.72372584698122,0.0911757589883019,18.9055278081357,1.02706708885871e-79,3.83404144270956e-76
"ERBB2","ERBB2",18345.8333517948,3.06956374741253,0.166195139219672,18.4696361266937,3.62519477920253e-76,1.12773767589692e-72
"C17orf37","C17orf37",1959.97417097525,2.71940054749311,0.148087216565562,18.3635063887447,2.57435254195074e-75,6.86432717078722e-72
"MPHOSPH6","MPHOSPH6",446.573799703809,1.79871818712267,0.0995643449274497,18.0658868235748,5.91635644885149e-73,1.38035991397266e-69
"SERPINA6","SERPINA6",538.340446833462,-9.0033212956319,0.503165283430359,-17.8933674323698,1.32832906479472e-71,2.75480688826594e-68
"STARD3","STARD3",1694.84381208525,2.39745133834924,0.135512636790435,17.6917178731959,4.85718036017391e-70,9.06592714226461e-67
"PGAP3","PGAP3",1917.76380643725,2.58454389600576,0.146571716145831,17.6333058243944,1.36733386654528e-69,2.32011696536978e-66
"ABCC2","ABCC2",43.2190116740317,3.98566660526137,0.22709118204471,17.5509527467106,5.84905570239784e-69,9.09771872377131e-66
"ELOVL2","ELOVL2",919.820006580442,-4.28711012718216,0.249732355164399,-17.1668189504718,4.70509039932996e-66,6.75542402334567e-63
"CST9","CST9",244.281841923435,-8.07169753326105,0.472334816672377,-17.0889319363043,1.79430161761989e-65,2.39218854949108e-62
"SERHL","SERHL",475.916862891439,2.9909759460249,0.175697681461549,17.0234229680456,5.50558637593093e-65,6.85078464711673e-62
"TMEM86A","TMEM86A",529.347252753518,2.0235861561787,0.121020254837841,16.7210535037309,9.20770437082187e-63,1.07413626300869e-59
"DBNDD2","DBNDD2",1360.40348093784,-1.82090938241639,0.11086305364624,-16.4248532087782,1.26990753614247e-60,1.39428377424113e-57
"RGS22","RGS22",137.074006073306,-4.52710537766266,0.276828169617618,-16.3534852103958,4.10797023611545e-60,4.25973691428305e-57
"PMAIP1","PMAIP1",392.884084520735,-2.28773656489533,0.141143409664984,-16.208596422075,4.38468420811442e-59,4.30737530233977e-56
"TFCP2L1","TFCP2L1",885.380017872303,-3.3190550089207,0.205733564091168,-16.1327833092412,1.50100663094065e-58,1.40081443832536e-55
"C1orf173","C1orf173",83.1107763791224,-5.04997133444506,0.315158031176895,-16.0236162016464,8.74152600881237e-58,7.76955156926109e-55
"PDZK1","PDZK1",663.04873116685,-4.58038629009583,0.28667396609553,-15.9776848678665,1.82810424275945e-57,1.55098025868659e-54
"RBM24","RBM24",244.108544504948,-4.20710881376689,0.267833234296629,-15.7079416406832,1.33441694961257e-55,1.08290836367472e-52
"STC2","STC2",11363.3366994736,-3.39919854308667,0.222850104859951,-15.2532956860078,1.56528892250606e-52,1.21733823910732e-49
"MIA","MIA",267.055879062866,-4.86763473219303,0.319258578660611,-15.2466842163311,1.73208373831217e-52,1.29317371902386e-49
"PGR","PGR",3041.93920517516,-4.1156205480037,0.271373537343118,-15.1658875375163,5.9489274581867e-52,4.27064350027134e-49
"NPY5R","NPY5R",49.5055931042654,-6.20271918137018,0.409430413894274,-15.1496297560637,7.61946306739035e-52,5.07918850545861e-49
"TRH","TRH",171.17079567995,-6.35810138377321,0.419681621815987,-15.1498208481499,7.59734166385506e-52,5.07918850545861e-49
"COL2A1","COL2A1",1251.00164904257,-5.85241505118162,0.387097467227079,-15.1187118146358,1.21904001799504e-51,7.84599377099225e-49
"RERG","RERG",1525.01776001933,-2.41469947753246,0.159937071626908,-15.0978097383534,1.67402234420779e-51,1.04152090182128e-48
"CPB1","CPB1",17626.304128298,-7.07822387916425,0.469833730973424,-15.0653803942498,2.73586405669824e-51,1.64725492317009e-48
"GSDMB","GSDMB",196.540082774392,2.6969066462142,0.180602286378242,14.9328488597645,2.01471359216425e-50,1.17514466242955e-47
"ESR1","ESR1",10585.2153143347,-3.33890201939198,0.224533662794151,-14.8703850364435,5.13173515487604e-50,2.90254050502307e-47
"GRIA2","GRIA2",415.032842403027,-6.51569823637722,0.438321070222649,-14.8651266822914,5.55097900619338e-50,3.04732421031175e-47
"MBOAT1","MBOAT1",1093.37525666977,-1.6890467499715,0.113909183406415,-14.828012101054,9.65500281888353e-50,5.14887507469889e-47
"NXNL2","NXNL2",33.6447382762519,-3.76599508714698,0.254537010756983,-14.7954714952731,1.56682538857919e-49,8.1235544105085e-47
"IGF1R","IGF1R",5494.12559802433,-2.36761084085491,0.160271341836602,-14.7725152464794,2.20334231167125e-49,1.11149687154984e-46
"CDK12","CDK12",2051.81919017112,1.60157158960574,0.109336763605735,14.6480610618855,1.38615151817742e-48,6.80855739125828e-46
"GPR179","GPR179",7.27586019626589,2.47236030643865,0.168867023398553,14.6408710041835,1.54081619068475e-48,7.3741882561874e-46
"CYP2A6","CYP2A6",451.343852154822,-6.84919493058443,0.474191186729162,-14.4439524020433,2.7368691244553e-47,1.27709155519896e-44
"GGTLC2","GGTLC2",109.680700956507,2.81355430940028,0.194904882320021,14.4355250412897,3.09281491986293e-47,1.40798513364004e-44
"ETFA","ETFA",1306.68990769878,1.17539232994732,0.0815648306208786,14.410528667811,4.44296449300548e-47,1.97447457766541e-44
"ASB13","ASB13",1426.32443124409,-1.43384983332091,0.0995871889344525,-14.3979346004501,5.33130364734411e-47,2.3141577343646e-44
"MED24","MED24",2377.5835050795,1.59783396264309,0.112094664173008,14.2543266838909,4.21346505918669e-46,1.7873710302209e-43
"SERPINA3","SERPINA3",21575.5920578081,-2.72499935846841,0.191409268633065,-14.2365068208493,5.43780574072839e-46,2.25548098112656e-43
"NOVA1","NOVA1",414.693363090971,-3.50815856761104,0.247751637354581,-14.1599813630704,1.62037120426364e-45,6.57483228860452e-43
"BCL2","BCL2",1857.69528183662,-2.06279304380625,0.146164525470533,-14.1128159323591,3.1667583516139e-45,1.25760733261433e-42
"SUSD3","SUSD3",1195.34955975239,-2.81105954043662,0.199205852612533,-14.1113300817737,3.23419854454779e-45,1.25763157987468e-42
"CRISPLD1","CRISPLD1",826.868204199143,-3.20297421537347,0.227390447364675,-14.0857905531833,4.64432224531919e-45,1.76910764712005e-42
"SCUBE2","SCUBE2",7502.03363304865,-3.44852727193788,0.246023183436251,-14.0170825520248,1.22549876233876e-44,4.57478687981058e-42
"NUDT8","NUDT8",139.119748853885,2.38579223332915,0.170244449189033,14.0139208338009,1.28131171167541e-44,4.68934962714149e-42
"PI15","PI15",943.447361087959,-3.89753977876564,0.278863438480691,-13.9765176819173,2.16841305542817e-44,7.78335186145515e-42
"MFSD2A","MFSD2A",188.790937086314,2.32396468830773,0.167533032801928,13.8716804049941,9.40473897114074e-44,3.31206514898759e-41
"TMEM26","TMEM26",350.703298691171,-2.88504097475488,0.209021775412162,-13.8025857309172,2.458726174526e-43,8.49854149028293e-41
"SRD5A3","SRD5A3",994.819400186409,1.29373383392109,0.0938603673013645,13.783600801041,3.19909070371267e-43,1.08565505426904e-40
"RPL19","RPL19",26303.0030751256,1.66930805341833,0.121180519080028,13.7753829253356,3.58477255200219e-43,1.19481749434144e-40
"KRT20","KRT20",29.9239958541137,9.12851797719895,0.663259824127544,13.7631100891821,4.24849538241431e-43,1.36720976401316e-40
"MED1","MED1",2541.95892498155,1.79335095475149,0.130301211398551,13.7631180516518,4.24802738985224e-43,1.36720976401316e-40
"C6orf155","C6orf155",64.0801664505233,-2.60697574990116,0.189629139990729,-13.7477591789354,5.25314963843234e-43,1.66186505087016e-40
"IGSF1","IGSF1",179.595475173637,-4.33307627376737,0.318869571138264,-13.58886725472,4.66240328128678e-42,1.45039595408696e-39
"GREB1","GREB1",2290.22771330595,-2.65198852753858,0.195193728097353,-13.5864433421545,4.81936818666928e-42,1.47464765908495e-39
"MGAM","MGAM",69.2466867936151,-3.86210081555402,0.284887689791909,-13.5565731828392,7.24421792891976e-42,2.18086012327883e-39
"NANOS1","NANOS1",266.96252896386,1.45620357264554,0.107794844243533,13.5090280325063,1.38335753280656e-41,4.09847116664038e-39
"SOX10","SOX10",649.310942111797,-4.70726204677301,0.348820172729577,-13.4948102626573,1.67786556505192e-41,4.8933376205772e-39
"AGTR1","AGTR1",691.137432258959,-3.9767310449863,0.2960574642916,-13.4322944854701,3.91102855813693e-41,1.12306689288655e-38
"NAGS","NAGS",86.6374373566876,-2.07261132989842,0.154433226256332,-13.4207604162738,4.56999754950048e-41,1.29240915547616e-38
"PPP4R4","PPP4R4",71.4954993222644,-4.3683226400243,0.32552407559856,-13.4193534901897,4.65758652677369e-41,1.29752018689897e-38
"GPR77","GPR77",115.018797206933,-2.31269584580066,0.172985647959059,-13.3692931933175,9.14052740007189e-41,2.50894035179915e-38
"FAM196A","FAM196A",252.515078431439,-3.92807886220615,0.293954418568631,-13.3628842231165,9.9627707602049e-41,2.69500168462644e-38
"HAAO","HAAO",108.911719223142,2.17193217657303,0.162945278785423,13.3292120689988,1.56542250640412e-40,4.17408729743326e-38
"C8orf46","C8orf46",60.5734915403646,-3.32190423923936,0.25007176986103,-13.2838034500472,2.87416131429216e-40,7.55580576496664e-38
"TP53INP2","TP53INP2",1058.60484770575,1.23026286819232,0.0930760119448979,13.2178296263988,6.92329384980855e-40,1.79476777370384e-37
