"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","82/1218","487/18614",1.72524997210776e-15,4.91190077774523e-12,4.06423018727439e-12,"NPY5R/GRIA2/ADCY1/NTRK2/RIMS4/MAPT/GRIA1/MPP2/PRRT2/GFAP/CBLN2/S100B/CPLX1/PRRT1/SNAP25/PLAT/BCHE/SYN1/SYT1/NEFH/CLSTN2/FAM107A/PTN/DLGAP1/NEFL/EPHB1/PTGS2/GRIK1/GRIK3/ZDHHC2/TUBB2B/ARC/FBXO2/EFNB3/CX3CR1/BEGAIN/CNTN4/ATP1A2/BAIAP3/SORCS3/SLC4A10/CA2/SYP/HTR2A/PCDH8/NPTX1/ADIPOQ/NGFR/SLC6A4/CHRNB2/GRIN2C/GRIK4/SV2B/CNR1/HCN1/ADRA1A/ADCY8/GRIN2A/GRM3/GRM7/GABRR1/TACR1/CNTN2/DRD2/NLGN1/CPLX2/NPAS4/NPY/EPHA7/LGI1/CELF4/SLC7A10/P2RY4/GRM4/SLC1A1/SYT4/CAMKV/NTNG1/UNC13A/RAPSN/CALB1/LRRTM1",82
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","82/1218","488/18614",1.94607796265659e-15,4.91190077774523e-12,4.06423018727439e-12,"NPY5R/GRIA2/ADCY1/NTRK2/RIMS4/MAPT/GRIA1/MPP2/PRRT2/GFAP/CBLN2/S100B/CPLX1/PRRT1/SNAP25/PLAT/BCHE/SYN1/SYT1/NEFH/CLSTN2/FAM107A/PTN/DLGAP1/NEFL/EPHB1/PTGS2/GRIK1/GRIK3/ZDHHC2/TUBB2B/ARC/FBXO2/EFNB3/CX3CR1/BEGAIN/CNTN4/ATP1A2/BAIAP3/SORCS3/SLC4A10/CA2/SYP/HTR2A/PCDH8/NPTX1/ADIPOQ/NGFR/SLC6A4/CHRNB2/GRIN2C/GRIK4/SV2B/CNR1/HCN1/ADRA1A/ADCY8/GRIN2A/GRM3/GRM7/GABRR1/TACR1/CNTN2/DRD2/NLGN1/CPLX2/NPAS4/NPY/EPHA7/LGI1/CELF4/SLC7A10/P2RY4/GRM4/SLC1A1/SYT4/CAMKV/NTNG1/UNC13A/RAPSN/CALB1/LRRTM1",82
"GO:0042391","BP","GO:0042391","regulation of membrane potential","69/1218","433/18614",4.57275459556427e-12,7.69442173280281e-09,6.36655797726281e-09,"PMAIP1/BCL2/KCNC2/NTRK2/RIMS4/MAPT/GABRP/KCNE4/GRIA1/GLRA3/NOS1AP/MPP2/KCNK15/GJA1/GLRB/ABAT/CACNB2/SCN4B/KCNJ3/KCNH8/KCNK5/CHRNA9/GRIK1/GRIK3/KCNQ3/SLC26A5/ATP1A2/SCN2B/KCNIP2/CLDN19/FXYD1/KCNC1/SCN5A/KCNK2/CACNA1G/KCND3/KCNE1/KCNK3/CASQ2/ABCB5/FZD9/CHRNB2/MYOC/CTNNA3/GRIN2C/GRIK4/GABRA5/KCNH1/CNR1/POPDC3/HCN1/ADRA1A/GRIN2A/ADRB1/SEZ6/GABRR1/KCNH3/TACR1/DRD2/NLGN1/NPAS4/CELF4/GABRB1/ATP1A4/GABRG1/NTSR2/KCNA4/GABRA4/GABRA1",69
"GO:0045109","BP","GO:0045109","intermediate filament organization","24/1218","73/18614",1.61455803716038e-11,2.0375722428964e-08,1.68593849775063e-08,"GFAP/KRT14/KRT31/KRT6B/KRT16/NEFH/NEFL/KRT5/KRT17/KRT79/KRT13/KRT1/DES/KRT6C/KRT77/KRT15/NEFM/KRT37/KRT33A/KRT23/KRT6A/KRT38/KRT34/KRT9",24
"GO:0023061","BP","GO:0023061","signal release","71/1218","483/18614",1.01633253123778e-10,9.03758409714448e-08,7.47792428423331e-08,"TRH/AGTR1/RIMS4/WNK4/IRS2/SFRP1/IRS1/CGA/PRRT2/EDN3/CPLX1/SYTL4/SNAP25/GJA1/ABAT/SYN1/SYT1/DOC2A/CARTPT/NNAT/CHGA/PTGS2/SYN2/CHRM3/LEP/ADCYAP1/GATA3/SV2A/BAIAP3/PTGES/RFX6/SLC30A8/PLA2G4A/SYP/HTR2A/ADIPOQ/GLP1R/SLC6A4/SYT9/CRHR1/NR4A1/MYRIP/MAOB/CHRNB2/SV2B/GCK/GDF9/SYT8/CNR1/ADCY8/PTPRN2/DOC2B/PLA2G10/GHRH/TACR1/DRD2/NLGN1/CPLX2/NPY/RBP4/G6PC2/P2RY4/GRM4/SYT4/CCKAR/UNC13A/FGF20/OPRK1/SPINK1/SYT10/NR0B2",71
"GO:0045104","BP","GO:0045104","intermediate filament cytoskeleton organization","26/1218","92/18614",1.07419779284602e-10,9.03758409714448e-08,7.47792428423331e-08,"GFAP/KRT14/KRT31/KRT6B/KRT16/NEFH/SYNM/NEFL/KRT5/NES/KRT17/KRT79/KRT13/KRT1/DES/KRT6C/KRT77/KRT15/NEFM/KRT37/KRT33A/KRT23/KRT6A/KRT38/KRT34/KRT9",26
"GO:0045103","BP","GO:0045103","intermediate filament-based process","26/1218","93/18614",1.39930452573036e-10,9.08459150572372e-08,7.51681939584447e-08,"GFAP/KRT14/KRT31/KRT6B/KRT16/NEFH/SYNM/NEFL/KRT5/NES/KRT17/KRT79/KRT13/KRT1/DES/KRT6C/KRT77/KRT15/NEFM/KRT37/KRT33A/KRT23/KRT6A/KRT38/KRT34/KRT9",26
"GO:0007409","BP","GO:0007409","axonogenesis","65/1218","427/18614",1.43971339234924e-10,9.08459150572372e-08,7.51681939584447e-08,"IGF1R/BCL2/ADCY1/MAG/PARD6B/NTRK2/BMPR1B/MAPT/WNT3/FGFR2/SEMA3B/EDN3/RND2/S100B/SPTBN4/SEMA6A/BDNF/SLIT1/SLITRK6/ARTN/CHODL/NEFH/LGR6/PTPRZ1/NEFL/EPHB1/SEMA3G/KIF5A/PLEKHG4/TUBB2B/EFNB3/GATA3/CNTN4/MAP2/EPHA3/NPTX1/NGFR/NCAM1/SEMA6D/CHRNB2/PAK3/DLX5/MYOT/DCLK1/EPHA6/EPHA8/FOXG1/PLA2G10/SLITRK3/CNTN2/DRD2/ROBO2/EPHA7/LGI1/LMX1A/CCKAR/CDH4/NTNG1/MCF2/DAB1/POU4F1/GFRA3/LRTM2/TBR1/MT3",65
"GO:0061564","BP","GO:0061564","axon development","70/1218","479/18614",1.79919484374704e-10,1.00914839680389e-07,8.34994753215e-08,"IGF1R/BCL2/ADCY1/MAG/PARD6B/NTRK2/BMPR1B/MAPT/PLP1/WNT3/FGFR2/SEMA3B/EDN3/RND2/S100B/SPTBN4/SEMA6A/BDNF/SLIT1/SLITRK6/ARTN/CHODL/NEFH/LGR6/PTN/PTPRZ1/KLK8/NEFL/EPHB1/SEMA3G/KIF5A/PLEKHG4/TUBB2B/EFNB3/GATA3/CNTN4/MAP2/EPHA3/NPTX1/NGFR/NCAM1/SEMA6D/CHRNB2/PAK3/DLX5/MYOT/DCLK1/EPHA6/CNR1/EPHA8/FOXG1/GRM7/PLA2G10/SLITRK3/CNTN2/DRD2/ROBO2/EPHA7/LGI1/LMX1A/CCKAR/CDH4/NTNG1/MCF2/DAB1/POU4F1/GFRA3/LRTM2/TBR1/MT3",70
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","44/1218","236/18614",2.36369628846967e-10,1.19319388641949e-07,9.87278618173439e-08,"SERPINA6/CST9/SERPINA3/PI15/SIAH2/CST5/SERPINA5/SERPINA11/CST9L/TIMP4/SERPINA4/TFPI2/SERPINB5/PTGS2/SERPINA12/ANXA8/CST2/SERPINA10/SERPINB7/NR4A1/SERPINB2/SERPINA1/SERPINI1/SPOCK3/SERPINB13/SPINK4/VTN/CRYAB/SERPINB4/COL28A1/VIL1/WFDC2/SERPINA9/ITIH2/PI16/WFIKKN2/SERPINB3/PCSK1N/MT3/PZP/SPINK1/HMSD/WFDC13/CST11",44
