"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","16/244","62/8644",8.54950259351539e-12,2.24851918209455e-09,2.00688324037256e-09,"SRD5A3/SRD5A1/AKR1D1/HSD17B2/UGT1A6/AKR1C2/UGT2B28/HSD3B2/CYP3A5/SULT1E1/UGT2B10/SRD5A2/UGT1A9/AKR1C1/UGT2B11/UGT2B7",16
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","13/244","78/8644",2.26548181963789e-07,2.97910859282383e-05,2.65896024094342e-05,"ALDH3B2/CBR3/UGT1A6/UGT2B28/CYP3A5/UGT2B10/ADH1C/UGT1A9/AKR1C1/UGT2B11/CYP2C9/GSTA3/UGT2B7",13
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","12/244","72/8644",6.6833102903412e-07,5.85903535453246e-05,5.22939717454768e-05,"FMO4/ALDH3B2/UGT1A6/UGT2B28/CYP3A5/UGT2B10/ADH1C/UGT1A9/UGT2B11/CYP2C9/GSTA3/UGT2B7",12
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","12/244","75/8644",1.05423869107212e-06,6.93161939379919e-05,6.18671652918639e-05,"DBI/ACSL1/FABP7/ME1/ACADL/SCD/FADS2/MMP1/FABP6/CYP8B1/HMGCS2/APOA5",12
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","11/244","68/8644",2.67760598964307e-06,0.000140842075055226,0.000125706554882191,"SDR16C5/UGT1A6/AWAT2/UGT2B28/CYP3A5/UGT2B10/ADH1C/UGT1A9/UGT2B11/CYP2C9/UGT2B7",11
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","11/244","70/8644",3.59558821022418e-06,0.00015760661654816,0.000140669503663157,"UGT1A6/SULT1A2/AKR1C2/UGT2B28/CYP3A5/UGT2B10/UGT1A9/UGT2B11/CYP2C9/GSTA3/UGT2B7",11
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","8/244","36/8644",5.48518596125709e-06,0.000206086272544373,0.000183939318700802,"AKR1B15/UGT1A6/UGT2B28/UGT2B10/AKR1B10/UGT1A9/UGT2B11/UGT2B7",8
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","12/244","89/8644",6.74978489882529e-06,0.000221899178548881,0.000198052899005005,"ABCC2/ABCC3/ABCC4/UGT1A6/UGT2B28/UGT2B10/SLC5A1/UGT1A9/UGT2B11/UGT2B7/SLC10A1/SLCO1B1",12
"hsa00860","Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","8/244","43/8644",2.21559651243605e-05,0.000647446536411869,0.000577869031898527,"UGT1A6/UGT2B28/UGT2B10/UGT1A9/HEPHL1/UGT2B11/UGT2B7/CP",8
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","7/244","36/8644",5.43087853410447e-05,0.00142832105446948,0.00127482727695294,"PNMT/ALDH3B2/HPD/DDC/HGD/ADH1C/TH",7
